x	y	a	b	phi
207.586	113.045	19.7269	28.1198	-41.201
207.586	113.045	19.7269	28.1198	-41.201
207.639	112.879	19.5189	28.2212	-41.7142
207.751	112.742	19.4264	28.3498	-40.2501
207.859	112.552	19.373	28.4464	-39.2899
207.78	112.218	19.6213	27.9406	-38.9687
207.784	111.949	19.4545	27.795	-39.8836
207.541	111.259	19.2309	28.349	-40.2474
207.353	110.628	19.5149	28.2379	-41.8495
207.146	109.856	19.304	28.397	-42.0162
206.887	109.418	19.145	27.9761	-42.4666
206.566	108.663	19.214	28.4057	-41.9188
206.571	108.097	19.0982	27.8193	-42.7381
206.061	107.187	19.0985	28.5898	-43.5371
205.852	106.396	18.8199	28.1503	-42.5599
205.683	105.431	18.7251	28.2168	-43.3361
205.102	104.504	18.7931	27.8211	-44.8443
204.623	103.767	28.3975	18.5592	43.34
204.286	102.818	28.4785	18.1364	43.6235
203.934	101.991	27.829	18.3527	42.5391
203.549	101.038	27.9835	18.4697	42.3966
203.401	100.024	28.0918	18.0302	41.5389
202.706	99.3709	27.6532	17.9922	40.8837
201.941	98.3831	28.5534	17.7587	40.9413
201.666	97.7046	28.3462	17.9231	41.8693
200.951	96.803	27.9559	17.6799	39.4526
200.678	96.2555	27.9377	17.573	40.0658
200.061	95.5578	28.137	17.4833	38.5163
199.631	95.1209	28.29	17.4585	38.5365
198.964	94.4062	27.8411	17.292	38.9932
198.626	93.8918	28.3266	17.0798	38.1549
198.016	93.2224	27.8812	17.4459	38.2423
197.578	92.7524	27.9785	17.2195	37.7852
197.22	92.2367	28.3177	17.1345	36.9209
196.212	91.6304	28.3364	17.2854	36.7051
196.062	91.4467	28.082	17.2613	35.5939
195.25	90.6011	28.3189	17.311	36.7787
194.879	90.619	27.9227	17.4818	34.4776
194.01	89.9311	28.0057	17.2941	33.4401
193.772	89.5403	28.2283	17.309	33.7017
192.997	88.7084	27.92	17.3228	32.1428
192.473	88.5561	28.166	17.3267	32.1176
191.723	88.0907	27.9782	17.3175	31.113
190.797	87.4616	27.9291	17.0815	30.2762
190.123	87.3137	28.3806	17.1047	29.9657
189.642	86.9351	27.8556	17.1709	30.1789
188.83	86.4336	28.2571	17.0508	30.4546
187.657	85.9354	28.1775	17.0997	29.4678
187.037	85.684	28.3574	17.0384	28.2251
186.202	85.1174	28.0006	17.1348	28.8466
185.545	84.8508	28.0056	17.1402	29.5282
184.92	84.7654	28.1951	17.0354	27.3649
184.4	84.5735	28.2419	17.2637	27.7265
183.503	84.0684	28.4178	17.2004	26.7365
183.333	83.9924	28.118	17.2452	26.8561
182.131	83.6213	27.82	17.3261	24.9044
181.258	83.4218	28.3786	17.2724	25.1424
180.352	83.1371	28.0509	17.3144	24.9904
180.238	82.8952	28.0956	17.3034	25.1616
178.786	82.4446	28.023	17.4857	24.2906
178.357	82.4884	28.374	17.6667	23.3055
178.108	82.4083	27.9685	17.7344	23.8349
177.491	82.2569	27.6049	17.8691	21.6036
176.365	82.0498	28.2166	17.7805	23.06
175.656	81.8448	28.0785	17.9066	22.3021
175.273	81.828	28.3466	17.7117	23.0799
174.527	81.8608	27.7186	17.624	19.5854
173.609	81.6424	28.2752	17.7689	21.0587
173.072	81.8107	28.2034	18.1399	21.7957
172.536	81.6451	27.7879	18.227	19.4998
171.732	81.7651	28.0187	17.9952	19.3558
170.759	81.7975	27.8394	18.0374	19.6316
169.888	81.4468	28.2293	18.073	19.4723
169.334	81.5547	28.237	18.348	16.9652
168.318	81.7463	28.0124	18.4855	18.1551
167.946	82.0366	28.1797	18.2917	16.3955
167.42	81.9452	27.9014	18.3557	15.3825
166.147	82.1982	28.1426	18.4529	16.0875
165.933	82.4064	27.7453	18.8331	16.5191
165.171	82.3239	27.6987	18.7964	15.7132
164.486	82.5849	27.7875	19.0499	13.3166
163.77	82.5994	28.0577	19.0605	13.3689
162.841	82.9007	28.2412	18.7489	14.6364
162.175	83.1184	28.2873	19.1751	14.8768
161.845	83.2482	28.0943	19.4121	13.8932
161.398	83.5938	28.0964	19.2094	13.6473
160.503	83.8509	28.4105	19.2952	12.1243
160.016	84.1407	27.9546	19.5302	12.945
159.503	84.1951	27.801	19.5192	13.6866
158.864	84.5634	28.3496	19.7395	11.7081
158.436	84.8328	28.1203	19.8308	12.5761
157.844	85.1358	28.0756	19.7829	12.0686
157.503	85.4309	28.0907	19.9048	11.4874
156.748	85.9353	27.7161	20.1583	9.63745
156.429	86.0927	28.1607	20.0184	7.98513
156.042	86.7118	27.9072	20.2136	10.0108
155.485	86.8106	28.2941	20.2658	8.64954
155.133	87.3475	27.8846	20.6417	7.32237
154.645	87.872	27.8966	20.5683	9.62905
153.945	88.1696	27.9089	20.7826	8.21842
153.8	88.4113	28.0733	21.0104	6.82589
153.268	89.1993	28.0452	20.9806	9.99271
152.72	89.5338	28.2594	21.0125	7.93892
152.259	90.054	27.9896	21.1762	8.25286
151.858	90.5273	28.1024	21.493	6.57116
151.821	91.1004	28.2711	21.4631	8.36892
151.039	91.5888	28.5484	21.6132	7.19327
150.883	92.1329	28.2444	22.0981	4.90343
150.388	92.8514	28.246	21.8118	6.95176
150.16	93.583	28.2722	22.1792	6.33273
150.34	94.0544	28.5325	22.1255	7.98641
149.784	94.6134	28.4361	22.3846	8.31678
149.629	95.4156	28.3745	22.4363	7.12104
149.616	95.8373	28.6133	22.4668	5.35285
149.235	96.4912	28.8417	22.5132	6.76166
149.53	97.1577	28.6972	22.8866	7.64192
149.613	97.5047	28.2541	22.7197	6.27234
149.107	98.4001	28.3738	23.0176	8.25614
149.095	98.7975	28.3285	23.1667	6.47398
149.188	99.6205	28.1812	23.231	7.11724
149.164	100.232	28.4126	23.4868	6.39198
148.831	100.628	28.4647	23.4478	6.81147
148.919	101.401	28.291	23.7783	2.12239
148.983	102.026	28.3908	23.8771	9.60781
149.011	102.456	28.223	23.7973	6.67898
149.439	103.291	28.2556	23.9745	3.12663
149.328	104.147	28.2755	24.1495	7.69357
149.215	104.431	28.3922	24.1609	7.18463
149.578	105.331	28.7337	24.1466	5.96798
149.553	105.951	28.5985	24.2852	8.74727
149.985	106.82	28.5364	24.3517	5.25932
150.274	107.209	28.7437	24.6837	10.0767
150.316	108.269	28.6539	24.6969	5.05502
150.735	108.868	28.718	24.9429	5.21506
150.757	109.692	28.7023	24.6882	9.81636
150.848	110.125	28.5888	24.9313	10.1593
151.578	111.233	28.5694	25.0997	8.23661
151.299	111.915	28.8103	25.1002	10.4293
152.231	112.774	28.544	25.4298	11.7177
152.501	113.226	28.6962	25.5299	13.8483
153.064	114.183	28.8363	25.3694	12.9592
153.538	114.646	28.8629	25.5448	11.9098
153.997	115.165	28.8127	25.8802	15.9126
154.089	115.898	28.527	25.6221	12.558
154.695	116.808	28.6066	25.7036	13.9924
155.101	117.104	28.7884	26.0077	15.4731
155.832	117.929	28.513	25.942	17.8456
156.328	118.398	28.6556	25.9298	20.2782
156.732	118.98	28.6456	25.8474	19.0479
157.238	119.544	28.8743	26.0999	18.6706
157.854	120.053	28.7506	26.004	16.8352
158.23	120.418	28.7779	26.2493	21.1372
158.945	121.072	28.4055	25.9879	19.8105
159.473	121.626	28.9592	26.0782	20.69
159.951	122.344	28.5873	26.2613	24.0404
160.687	122.877	28.8549	26.1364	24.7587
161.046	123.295	29.0964	26.1722	22.2865
161.748	124.162	28.7077	26.5218	25.8447
162.354	124.313	28.66	26.5113	23.6806
163.001	124.916	28.874	26.4285	24.5607
163.83	125.49	28.7982	26.3946	29.6915
164.434	126.148	29.0545	26.3689	23.2099
164.976	126.432	28.9279	26.4518	33.801
165.849	127.137	28.7032	26.4423	31.9152
166.666	127.566	29.1811	26.6303	34.1004
167.418	128.053	28.7879	26.4013	39.1547
168.266	128.373	28.6938	26.3249	38.5615
169.07	128.755	28.9991	26.4719	34.1681
169.873	129.235	28.904	26.4372	40.5512
170.608	129.558	29.0278	26.3045	37.4284
171.246	129.719	28.968	26.5728	41.8536
172.132	130.358	28.5614	26.6951	37.3922
173.048	130.427	29.0476	26.4244	40.0448
173.859	130.946	29.1916	25.9338	44.1188
174.649	131.021	26.3872	28.885	-42.4254
175.292	131.46	28.6733	26.4069	43.7394
175.937	131.449	29.01	26.2752	43.8709
176.86	131.701	26.1927	28.8886	-44.6636
177.527	131.813	26.0532	28.6951	-44.578
178.403	132.037	29.2045	25.7874	44.4099
178.716	132.127	25.7691	29.3457	-42.263
179.645	132.476	25.8546	28.8742	-42.4143
180.152	132.438	26.0028	28.9898	-41.2747
180.993	132.859	25.7464	28.6621	-38.9398
181.952	132.824	25.6916	29.1075	-38.5167
182.691	132.867	25.4625	28.9326	-38.2918
183.413	132.952	28.4328	25.7872	42.3276
183.959	133.102	25.3431	28.9883	-44.8012
184.819	133.072	25.4001	28.9051	-38.6739
185.514	133.128	25.4001	28.6284	-40.9151
186.514	133.175	25.153	28.9332	-39.2396
187.149	133.049	25.3362	28.6106	-40.6425
187.837	132.988	25.2622	28.8955	-36.7595
188.833	132.811	25.0361	28.8225	-33.7817
189.519	132.705	25.0264	28.8606	-38.28
190.401	132.97	25.1208	28.6181	-34.8511
191.025	132.505	24.7632	28.5458	-39.4465
191.809	132.793	24.5615	28.6021	-37.2085
192.324	132.462	24.6459	28.458	-36.2294
193.339	132.225	24.5376	28.7002	-32.913
193.732	131.781	24.1918	28.7189	-33.8257
194.456	131.607	23.9155	28.7742	-35.1815
195.337	131.371	23.9259	28.7329	-33.3092
195.99	131.059	24.1246	28.6517	-35.0119
196.326	131.037	23.7632	28.9222	-34.7842
196.894	130.657	23.3639	28.9217	-34.2981
197.611	130.21	23.6088	28.6843	-31.9424
198.169	130.035	23.779	28.4051	-33.3051
198.852	129.735	23.4513	28.7644	-35.0422
199.212	129.605	23.3301	28.8576	-32.4136
199.798	129.15	22.8885	28.9288	-34.0732
200.125	128.714	23.2637	28.9021	-31.5543
200.731	128.175	22.8338	28.6082	-35.4598
200.841	127.697	22.8242	29.0079	-32.0224
201.646	127.414	22.6561	28.474	-32.6569
202.235	126.846	22.4061	28.9439	-33.6038
202.619	126.249	22.762	28.6451	-34.9891
202.954	125.368	22.0239	28.9981	-34.446
203.644	124.648	21.8985	28.8909	-36.203
203.789	124.259	22.0446	28.6385	-36.318
204.446	123.554	21.834	28.4162	-36.1023
204.744	122.785	21.8379	28.386	-36.4597
205.09	121.84	21.2331	28.6372	-35.0914
205.23	120.935	21.4991	28.3364	-36.9775
206.029	120.683	21.313	28.3386	-37.0053
206.035	119.507	20.777	28.8322	-37.1673
206.29	118.828	20.7516	28.7907	-36.8184
206.583	117.88	20.9041	28.2987	-36.3072
206.932	117.332	20.4495	28.3318	-38.6083
206.947	116.731	20.4217	28.3292	-37.5282
207.163	116.172	20.0938	28.5805	-38.642
207.258	115.309	20.2401	28.532	-38.3307
207.521	114.763	20.0779	28.1376	-37.2756
207.46	114.255	20.1712	28.0648	-37.5917
207.537	113.99	19.9073	28.0538	-38.5263
207.723	113.919	19.9959	28.021	-39.2799
207.652	113.479	20.1221	28.0472	-39.2947
207.886	113.387	19.6438	28.4314	-39.968
207.72	113.339	19.8018	28.7386	-38.4545
207.72	113.339	19.8018	28.7386	-38.4545
